ID_Item;Scenario;Country;Energy;Sector;Sub_Sector;Usage;Source;Unit;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040
Technical Efficiency Rate;N/A;DE;gas;IND;métaux non ferreux;N/A;Eurostat;%;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03
Technical Efficiency Rate;N/A;DE;electricity;IND;métaux non ferreux;N/A;Eurostat;%;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03
Technical Efficiency Rate;N/A;DE;coal;IND;chimie et pétrochimie;N/A;Eurostat;%;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03
Technical Efficiency Rate;N/A;DE;oil;IND;chimie et pétrochimie;N/A;Eurostat;%;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03
Technical Efficiency Rate;N/A;DE;gas;IND;chimie et pétrochimie;N/A;Eurostat;%;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03
Technical Efficiency Rate;N/A;DE;electricity;IND;chimie et pétrochimie;N/A;Eurostat;%;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03
Technical Efficiency Rate;N/A;DE;coal;IND;minéraux non métalliques;N/A;Eurostat;%;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03
Technical Efficiency Rate;N/A;DE;oil;IND;minéraux non métalliques;N/A;Eurostat;%;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03
Technical Efficiency Rate;N/A;DE;gas;IND;minéraux non métalliques;N/A;Eurostat;%;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03
Technical Efficiency Rate;N/A;DE;electricity;IND;minéraux non métalliques;N/A;Eurostat;%;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03;-0,03
