ID_Item,Scenario,Country,Energy,Sector,Sub_Sector,Usage,Equipment,Source,Unit,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Primary energy new,ME,AT,electricity,RES,total,Space Heating,HP air/water,EC,KWh/sqm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000
Primary energy new,ME,AT,electricity,RES,total,Space Heating,HP hybrid,EC,KWh/sqm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000
Primary energy new,ME,AT,electricity,RES,total,Space Heating,direct heater,EC,KWh/sqm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000
Primary energy renovated,BT,AT,coal,RES,total,Space Heating,coal boiler,EC,KWh/sqm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.4,69.36,68.32,67.28,66.24,65.2,64.16,63.12,62.08,61.04,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Primary energy renovated,BT,AT,oil,RES,total,Space Heating,oil Boiler,EC,KWh/sqm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.4,69.36,68.32,67.28,66.24,65.2,64.16,63.12,62.08,61.04,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Primary energy renovated,BT,AT,gas,RES,total,Space Heating,gas boiler,EC,KWh/sqm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.4,69.36,68.32,67.28,66.24,65.2,64.16,63.12,62.08,61.04,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Primary energy renovated,BT,AT,biomass and waste,RES,total,Space Heating,biomass boiler,EC,KWh/sqm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.4,69.36,68.32,67.28,66.24,65.2,64.16,63.12,62.08,61.04,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Primary energy renovated,BT,AT,final heat,RES,total,Space Heating,district heating,EC,KWh/sqm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.4,69.36,68.32,67.28,66.24,65.2,64.16,63.12,62.08,61.04,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Primary energy renovated,BT,AT,electricity,RES,total,Space Heating,HP air/air,EC,KWh/sqm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.4,69.36,68.32,67.28,66.24,65.2,64.16,63.12,62.08,61.04,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Primary energy renovated,BT,AT,electricity,RES,total,Space Heating,HP air/water,EC,KWh/sqm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.4,69.36,68.32,67.28,66.24,65.2,64.16,63.12,62.08,61.04,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Primary energy renovated,BT,AT,electricity,RES,total,Space Heating,HP hybrid,EC,KWh/sqm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.4,69.36,68.32,67.28,66.24,65.2,64.16,63.12,62.08,61.04,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Primary energy renovated,BT,AT,electricity,RES,total,Space Heating,direct heater,EC,KWh/sqm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.4,69.36,68.32,67.28,66.24,65.2,64.16,63.12,62.08,61.04,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Primary energy new,BT,AT,coal,RES,total,Space Heating,coal boiler,EC,KWh/sqm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000
Primary energy new,BT,AT,oil,RES,total,Space Heating,oil Boiler,EC,KWh/sqm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000
Primary energy new,BT,AT,gas,RES,total,Space Heating,gas boiler,EC,KWh/sqm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000
Primary energy new,BT,AT,biomass and waste,RES,total,Space Heating,biomass boiler,EC,KWh/sqm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000
Primary energy new,BT,AT,final heat,RES,total,Space Heating,district heating,EC,KWh/sqm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000
Primary energy new,BT,AT,electricity,RES,total,Space Heating,HP air/air,EC,KWh/sqm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000
Primary energy new,BT,AT,electricity,RES,total,Space Heating,HP air/water,EC,KWh/sqm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000
Primary energy new,BT,AT,electricity,RES,total,Space Heating,HP hybrid,EC,KWh/sqm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000
Primary energy new,BT,AT,electricity,RES,total,Space Heating,direct heater,EC,KWh/sqm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000
Primary energy renovated,SD,AT,coal,RES,total,Space Heating,coal boiler,EC,KWh/sqm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.4,69.36,68.32,67.28,66.24,65.2,64.16,63.12,62.08,61.04,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Primary energy renovated,SD,AT,oil,RES,total,Space Heating,oil Boiler,EC,KWh/sqm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.4,69.36,68.32,67.28,66.24,65.2,64.16,63.12,62.08,61.04,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Primary energy renovated,SD,AT,gas,RES,total,Space Heating,gas boiler,EC,KWh/sqm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.4,69.36,68.32,67.28,66.24,65.2,64.16,63.12,62.08,61.04,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Primary energy renovated,SD,AT,biomass and waste,RES,total,Space Heating,biomass boiler,EC,KWh/sqm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.4,69.36,68.32,67.28,66.24,65.2,64.16,63.12,62.08,61.04,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Primary energy renovated,SD,AT,final heat,RES,total,Space Heating,district heating,EC,KWh/sqm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.4,69.36,68.32,67.28,66.24,65.2,64.16,63.12,62.08,61.04,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Primary energy renovated,SD,AT,electricity,RES,total,Space Heating,HP air/air,EC,KWh/sqm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.4,69.36,68.32,67.28,66.24,65.2,64.16,63.12,62.08,61.04,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Primary energy renovated,SD,AT,electricity,RES,total,Space Heating,HP air/water,EC,KWh/sqm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.4,69.36,68.32,67.28,66.24,65.2,64.16,63.12,62.08,61.04,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Primary energy renovated,SD,AT,electricity,RES,total,Space Heating,HP hybrid,EC,KWh/sqm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.4,69.36,68.32,67.28,66.24,65.2,64.16,63.12,62.08,61.04,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Primary energy renovated,SD,AT,electricity,RES,total,Space Heating,direct heater,EC,KWh/sqm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.4,69.36,68.32,67.28,66.24,65.2,64.16,63.12,62.08,61.04,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Primary energy new,SD,AT,coal,RES,total,Space Heating,coal boiler,EC,KWh/sqm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000
Primary energy new,SD,AT,oil,RES,total,Space Heating,oil Boiler,EC,KWh/sqm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000
Primary energy new,SD,AT,gas,RES,total,Space Heating,gas boiler,EC,KWh/sqm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000
Primary energy new,SD,AT,biomass and waste,RES,total,Space Heating,biomass boiler,EC,KWh/sqm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000
Primary energy new,SD,AT,final heat,RES,total,Space Heating,district heating,EC,KWh/sqm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000
Primary energy new,SD,AT,electricity,RES,total,Space Heating,HP air/air,EC,KWh/sqm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000
Primary energy new,SD,AT,electricity,RES,total,Space Heating,HP air/water,EC,KWh/sqm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000
Primary energy new,SD,AT,electricity,RES,total,Space Heating,HP hybrid,EC,KWh/sqm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000
Primary energy new,SD,AT,electricity,RES,total,Space Heating,direct heater,EC,KWh/sqm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000,41.00000
Primary energy renovated,ME,BE,coal,RES,total,Space Heating,coal boiler,EC,KWh/sqm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,69,68,67,66,65,64,63,62,61,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Primary energy renovated,ME,BE,oil,RES,total,Space Heating,oil Boiler,EC,KWh/sqm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,69,68,67,66,65,64,63,62,61,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Primary energy renovated,ME,BE,gas,RES,total,Space Heating,gas boiler,EC,KWh/sqm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,69,68,67,66,65,64,63,62,61,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Primary energy renovated,ME,BE,biomass and waste,RES,total,Space Heating,biomass boiler,EC,KWh/sqm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,69,68,67,66,65,64,63,62,61,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Primary energy renovated,ME,BE,final heat,RES,total,Space Heating,district heating,EC,KWh/sqm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,69,68,67,66,65,64,63,62,61,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Primary energy renovated,ME,BE,electricity,RES,total,Space Heating,HP air/air,EC,KWh/sqm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,69,68,67,66,65,64,63,62,61,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Primary energy renovated,ME,BE,electricity,RES,total,Space Heating,HP air/water,EC,KWh/sqm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,69,68,67,66,65,64,63,62,61,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Primary energy renovated,ME,BE,electricity,RES,total,Space Heating,HP hybrid,EC,KWh/sqm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,69,68,67,66,65,64,63,62,61,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Primary energy renovated,ME,BE,electricity,RES,total,Space Heating,direct heater,EC,KWh/sqm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,69,68,67,66,65,64,63,62,61,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Primary energy new,ME,BE,coal,RES,total,Space Heating,coal boiler,EC,KWh/sqm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59
Primary energy new,ME,BE,oil,RES,total,Space Heating,oil Boiler,EC,KWh/sqm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59
Primary energy new,ME,BE,gas,RES,total,Space Heating,gas boiler,EC,KWh/sqm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59
Primary energy new,ME,BE,biomass and waste,RES,total,Space Heating,biomass boiler,EC,KWh/sqm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59
Primary energy new,ME,BE,final heat,RES,total,Space Heating,district heating,EC,KWh/sqm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59
Primary energy new,ME,BE,electricity,RES,total,Space Heating,HP air/air,EC,KWh/sqm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59
Primary energy new,ME,BE,electricity,RES,total,Space Heating,HP air/water,EC,KWh/sqm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59
Primary energy new,ME,BE,electricity,RES,total,Space Heating,HP hybrid,EC,KWh/sqm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59
